ax,ay,az,gx,gy,gz,beat_event
-0.517324,0.728086,5.259463,-12.012196,10.426829,-4.451220,0
-0.546064,0.871787,5.039121,-13.292684,13.170732,-7.743903,0
-0.603545,0.689766,4.646338,-9.451220,14.573171,-10.975610,0
-0.440684,0.229922,4.435576,-5.853659,13.902439,-13.536586,0
-0.517324,-0.009580,4.148174,-4.878049,11.158537,-11.585366,0
-0.373623,-0.296982,4.157754,-7.317073,8.658537,-7.500000,0
-0.383203,-0.651445,3.745811,-1.402439,5.243903,-2.256098,0
-0.431104,-0.613125,3.477569,15.609756,0.792683,5.548780,0
-0.383203,-0.249082,3.190166,28.902439,-6.341464,9.695122,0
-0.296982,-0.191602,3.812871,15.792684,-14.146341,13.048780,0
-0.306563,0.852627,4.176914,2.256098,-15.243903,16.097561,0
-0.162861,0.823887,4.138594,5.792683,-16.829269,11.097561,0
-0.316143,0.843047,3.324287,10.548780,-18.780489,8.658537,0
-0.316143,0.641865,3.755391,1.341463,-26.707317,5.670732,0
-0.153281,0.900527,5.173243,-14.268293,-26.585367,4.512195,0
-0.143701,0.584385,5.613926,-10.975610,-19.146341,0.975610,0
-0.114961,0.431104,5.441484,-1.768293,-11.341464,-0.060976,0
-0.335303,0.143701,4.665498,-3.170732,-8.414635,0.121951,0
-0.210762,0.153281,5.757627,-9.817074,-6.829268,1.097561,0
-0.191602,-0.076641,6.179151,-11.097561,3.536585,2.256098,0
-0.162861,0.038320,5.882168,1.158537,13.902439,3.353659,0
-0.306563,0.316143,4.837940,1.524390,17.256098,4.329268,0
-0.249082,0.354463,4.713398,7.317073,15.426829,2.804878,0
-0.277822,0.555645,4.703819,0.609756,14.329268,1.890244,0
-0.364043,0.699346,4.397256,1.768293,13.475610,0.365854,0
-0.325723,0.661025,4.109854,3.536585,10.426829,-3.109756,0
-0.316143,0.670605,4.205655,3.658537,6.890244,-6.341464,0
-0.316143,0.421523,4.416416,5.000000,4.634147,-8.048780,0
-0.306563,0.114961,4.521797,6.097561,3.841464,-7.682927,0
-0.239502,-0.047900,4.665498,3.963415,3.719512,-7.195122,0
-0.268242,-0.268242,4.579278,3.353659,2.500000,-4.146341,0
-0.229922,-0.105381,5.010381,1.463415,3.109756,-0.670732,0
-0.210762,0.325723,5.106182,-0.548781,5.914634,1.707317,0
-0.239502,0.958008,4.722979,1.158537,7.500000,0.426829,0
-0.239502,1.226250,4.550537,1.097561,7.804878,-3.536585,0
-0.172441,0.833467,4.425996,-0.121951,7.439024,-8.231708,0
-0.277822,0.440684,4.215235,0.548781,6.646342,-9.207317,0
-0.249082,0.038320,4.263135,1.158537,4.634147,-8.780488,0
-0.229922,-0.258662,4.445157,-0.182927,3.841464,-5.121951,0
-0.296982,-0.287402,4.521797,0.304878,4.451220,-1.463415,0
-0.316143,-0.296982,4.435576,2.378049,5.243903,2.439024,0
-0.354463,-0.258662,4.061953,5.060976,3.841464,6.585366,0
-0.306563,-0.095801,4.263135,7.926829,0.487805,9.573171,0
-0.277822,0.354463,4.502637,9.085366,-1.036585,11.463415,0
-0.258662,0.804727,4.608018,6.341464,-0.548781,12.073171,0
-0.268242,1.034649,4.636758,5.060976,-0.731707,9.268293,0
-0.316143,1.072969,4.464316,1.036585,0.182927,6.890244,0
-0.335303,1.111289,4.579278,3.536585,-0.975610,2.621951,0
-0.383203,0.871787,4.521797,-0.609756,0.060976,-0.670732,0
-0.402363,0.392783,4.339776,-2.012195,0.487805,-0.914634,0
