ax,ay,az,gx,gy,gz,beat_event
-0.871787,3.793711,8.516690,0.000000,3.536585,0.000000,0
-0.804727,3.860772,8.411309,-2.195122,-2.317073,2.560976,0
-0.862207,3.755391,8.487949,4.878049,4.024390,-3.536585,0
-0.804727,3.736231,8.372989,6.951220,7.682927,-0.365854,0
-0.929268,3.688330,8.363408,-2.195122,-6.829268,-1.219512,0
-0.929268,3.697910,8.392149,2.317073,1.097561,2.073171,0
-0.852627,3.860772,8.574170,1.097561,1.219512,0.000000,0
-0.843047,3.764971,8.430470,-1.707317,-0.487805,0.000000,0
-0.996328,3.745811,8.420889,-0.975610,-2.439024,2.804878,0
-0.900527,3.755391,8.449629,-0.731707,-7.073171,4.146341,0
-0.929268,3.717071,8.392149,1.341463,-2.439024,0.000000,0
-0.814307,3.726650,8.497530,1.951220,0.487805,1.951220,0
-0.977168,3.870352,8.411309,-0.121951,-4.268293,-4.024390,0
-0.910107,3.793711,8.430470,-2.926829,-2.926829,-3.902439,0
-0.852627,3.736231,8.372989,0.243902,9.146341,2.804878,0
-0.862207,3.812871,8.401729,-0.609756,6.829268,-4.268293,0
-0.958008,3.832031,8.516690,-0.731707,-2.926829,-0.487805,0
-0.823887,3.774551,8.420889,-0.365854,3.536585,-0.365854,0
-0.890947,3.832031,8.449629,-1.341463,2.560976,-2.804878,0
-0.843047,3.697910,8.401729,2.073171,7.560976,4.268293,0
-0.929268,3.688330,8.440049,-0.975610,-0.487805,-0.365854,0
-0.804727,3.717071,8.516690,-3.048780,-5.853659,1.097561,0
-0.852627,3.937412,8.497530,0.487805,1.951220,2.560976,0
-0.929268,3.755391,8.449629,2.804878,-0.731707,3.658537,0
-0.900527,3.745811,8.449629,-1.829268,-0.487805,-0.365854,0
-0.843047,3.832031,8.420889,2.195122,3.414634,-1.341463,0
-0.900527,3.784131,8.392149,2.804878,-3.902439,-8.048780,0
-0.862207,3.736231,8.507110,1.585366,-1.341463,0.975610,0
-0.881367,3.812871,8.440049,6.341464,1.829268,-6.219512,0
-0.871787,3.764971,8.459209,-2.926829,-3.414634,2.073171,0
-0.852627,3.774551,8.449629,1.219512,2.073171,3.536585,0
-0.871787,3.745811,8.507110,-2.560976,-1.829268,-2.317073,0
-0.871787,3.784131,8.440049,-4.024390,-1.829268,-3.170732,0
-0.833467,3.774551,8.420889,2.804878,-4.146341,-2.317073,0
-0.958008,3.793711,8.487949,1.707317,4.878049,-5.365854,0
-0.900527,3.755391,8.372989,0.243902,0.000000,-0.365854,0
-0.843047,3.784131,8.574170,5.731708,0.487805,-1.341463,0
-0.833467,3.860772,8.545430,0.731707,2.317073,1.097561,0
-0.890947,3.764971,8.440049,-3.658537,-3.414634,5.731708,0
-0.843047,3.736231,8.468789,0.121951,-3.902439,0.243902,0
-0.833467,3.841611,8.420889,-0.609756,-8.292683,-2.439024,0
-0.958008,3.812871,8.392149,5.121951,4.146341,-2.682927,0
-0.890947,3.803291,8.430470,-1.341463,-6.341464,-2.195122,0
-0.871787,3.841611,8.497530,0.731707,1.829268,-4.634147,0
-0.833467,3.774551,8.392149,-0.731707,-1.829268,-0.609756,0
-0.871787,3.717071,8.468789,-1.219512,0.853659,-3.170732,0
-0.919688,3.879932,8.411309,-0.975610,-1.463415,0.487805,0
-0.881367,3.745811,8.382568,0.487805,0.853659,4.146341,0
-0.900527,3.793711,8.430470,-1.219512,4.512195,-1.707317,0
-0.871787,3.812871,8.449629,5.487805,-1.707317,-0.975610,0
