ax,ay,az,gx,gy,gz,beat_event
-0.996328,3.582949,8.631651,1.219512,-0.243902,0.000000,0
-0.958008,3.621270,8.641231,-4.512195,-0.731707,4.756098,0
-0.986748,3.640430,8.564590,-1.585366,-1.829268,1.585366,0
-1.082549,3.563789,8.602911,-3.902439,-0.487805,-5.853659,0
-1.044229,3.506309,8.487949,-0.487805,3.658537,-6.219512,0
-0.977168,3.544629,8.449629,1.829268,2.439024,-1.585366,0
-1.015488,3.506309,8.392149,7.439024,3.170732,-6.219512,0
-1.044229,3.458408,8.507110,2.073171,1.097561,4.512195,0
-1.034649,3.420088,8.459209,1.463415,1.463415,-2.317073,0
-1.025068,3.592530,8.497530,0.853659,-2.317073,6.951220,0
-0.967588,3.563789,8.602911,1.219512,8.170732,-4.268293,0
-1.005908,3.640430,8.669971,1.219512,-1.097561,3.658537,0
-0.977168,3.611690,8.622070,1.951220,-1.951220,0.853659,0
-0.986748,3.592530,8.583751,1.951220,0.609756,1.097561,0
-0.958008,3.640430,8.545430,-6.829268,-3.536585,3.780488,0
-1.005908,3.477569,8.507110,-3.658537,-0.487805,-0.487805,0
-0.948428,3.515889,8.593330,1.951220,-0.975610,0.487805,0
-0.986748,3.487149,8.564590,-1.585366,-4.634147,2.439024,0
-0.977168,3.515889,8.487949,-2.317073,-4.146341,-4.268293,0
-0.948428,3.573369,8.602911,-3.292683,0.365854,1.341463,0
-1.034649,3.535049,8.717872,1.829268,5.243903,-5.243903,0
-0.919688,3.487149,8.411309,-2.926829,2.073171,-0.487805,0
-0.958008,3.659590,8.631651,-8.414635,-1.951220,-5.365854,0
-0.958008,3.420088,8.641231,1.219512,6.585366,-0.121951,0
-0.948428,3.496729,8.401729,5.975610,4.512195,0.487805,0
-1.015488,3.582949,8.622070,3.658537,0.121951,-2.560976,0
-1.044229,3.477569,8.526270,-4.756098,0.609756,-1.585366,0
-1.082549,3.496729,8.487949,0.243902,-1.951220,1.585366,0
-1.072969,3.573369,8.708291,-4.756098,-1.707317,3.292683,0
-1.025068,3.573369,8.593330,1.341463,-0.487805,4.390244,0
-0.967588,3.592530,8.526270,1.585366,8.048780,-4.146341,0
-1.005908,3.448828,8.641231,2.195122,0.000000,-0.243902,0
-1.044229,3.515889,8.526270,-6.707317,-2.560976,7.317073,0
-1.015488,3.477569,8.650811,1.585366,-3.048780,4.512195,0
-1.034649,3.477569,8.516690,4.146341,2.317073,-3.170732,0
-1.082549,3.429668,8.392149,1.463415,5.365854,1.341463,0
-0.967588,3.525469,8.631651,7.195122,0.000000,-2.439024,0
-0.967588,3.554209,8.507110,3.292683,1.097561,2.682927,0
-1.015488,3.496729,8.535850,-1.707317,-2.682927,-1.951220,0
-0.967588,3.535049,8.459209,-0.243902,4.024390,3.780488,0
-0.929268,3.573369,8.679551,3.902439,-2.439024,1.829268,0
-0.919688,3.582949,8.689131,-0.609756,-3.658537,-0.975610,0
-0.977168,3.621270,8.641231,-3.902439,7.439024,5.243903,0
-0.986748,3.630850,8.526270,3.414634,1.585366,-3.536585,0
-0.996328,3.573369,8.660391,-0.731707,5.609756,-4.634147,0
-1.015488,3.496729,8.622070,0.853659,1.219512,-7.073171,0
-1.044229,3.525469,8.526270,-11.829268,2.195122,-0.487805,0
-1.053809,3.448828,8.507110,-4.512195,-4.024390,4.268293,0
-1.044229,3.420088,8.516690,-4.146341,-3.292683,1.463415,0
-0.929268,3.410508,8.392149,-1.219512,-3.292683,1.463415,0
-0.938848,3.467988,8.468789,-1.829268,0.365854,3.414634,0
-0.986748,3.582949,8.593330,1.219512,-0.731707,4.390244,0
-0.967588,3.487149,8.593330,9.634147,2.195122,-1.219512,0
-0.958008,3.448828,8.631651,-2.804878,-1.585366,6.829268,0
-0.977168,3.554209,8.545430,5.731708,0.731707,-5.365854,0
-1.025068,3.669170,8.689131,5.487805,2.560976,-7.682927,0
-1.025068,3.717071,8.660391,-7.439024,-1.219512,1.463415,0
-1.082549,3.515889,8.737032,-1.097561,-2.317073,-1.707317,0
-1.072969,3.554209,8.555010,2.195122,1.097561,-0.365854,0
-0.948428,3.477569,8.535850,-3.902439,-2.926829,-1.463415,0
-1.005908,3.506309,8.468789,5.731708,-3.414634,-3.292683,0
-0.967588,3.391348,8.363408,-0.121951,-0.243902,-1.585366,0
-0.958008,3.467988,8.535850,4.390244,0.121951,-1.829268,0
-0.929268,3.391348,8.440049,4.024390,-0.975610,-1.097561,0
-0.977168,3.496729,8.497530,-4.024390,1.951220,0.365854,0
-1.015488,3.496729,8.526270,3.780488,2.073171,2.073171,0
-1.015488,3.544629,8.612491,-5.000000,1.097561,-1.951220,0
-1.044229,3.678750,8.756192,1.219512,-1.585366,-1.585366,0
-0.929268,3.659590,8.660391,-1.463415,-3.658537,7.804878,0
