ax,ay,az,gx,gy,gz,timestamp
-88.34,594.37,756.23,23.78,-18.19,-14.65,1764851059.0449004
-90.09,592.07,757.69,18.71,-16.06,-7.06,1764851059.0449004
-88.88,591.91,755.04,30.31,-18.45,-11.70,1764851059.05003
-88.60,592.97,754.58,29.66,-6.99,-23.74,1764851059.0517943
-89.56,594.78,755.85,24.01,-15.54,-23.78,1764851059.0541284
-90.52,593.61,756.47,31.51,-11.71,-13.91,1764851059.0565443
-92.09,593.37,758.80,20.18,-7.25,-9.73,1764851059.0584276
-93.13,592.41,758.83,8.16,4.94,-7.37,1764851059.0616949
-91.31,592.05,759.60,7.83,6.90,-1.76,1764851059.0660179
-91.41,591.29,759.81,4.86,16.96,9.30,1764851059.0690937
-91.05,593.35,758.79,-14.77,19.52,20.81,1764851059.07098
-90.74,596.60,755.22,-24.26,34.29,12.89,1764851059.0729444
-91.53,591.86,753.54,-18.52,28.25,27.75,1764851059.0743122
-91.60,590.08,755.41,-28.64,9.61,28.69,1764851059.0774307
-92.41,591.12,760.60,-5.74,-4.43,33.09,1764851059.0809407
-113.65,648.10,728.41,-126.68,-24.17,19.72,1764851059.0828078
-157.65,672.08,702.40,-468.58,-70.64,-61.24,1764851059.0828078
-170.61,661.42,672.79,-579.49,-116.75,-110.55,1764851059.0865304
-132.41,604.51,704.17,-588.87,-137.03,-136.57,1764851059.0892527
-103.10,583.13,763.69,-621.74,-153.68,-159.88,1764851059.0892527
-79.24,473.16,860.04,-388.98,-184.93,-133.20,1764851059.0932124
-76.20,628.84,828.38,-280.83,-212.69,-82.92,1764851059.0944483
-56.82,436.41,832.23,-1315.71,-257.58,-172.78,1764851059.0987487
-63.75,432.30,817.64,-1690.45,-302.05,-252.46,1764851059.101853
-5.14,398.81,769.55,-1716.78,-350.34,-351.39,1764851059.104117
5.23,350.53,889.01,-1748.47,-385.09,-456.49,1764851059.104117
13.45,278.90,860.66,-1575.90,-432.63,-521.81,1764851059.1073554
19.68,208.42,879.31,-1274.71,-435.23,-528.74,1764851059.109692
29.63,215.11,871.47,-970.70,-439.85,-496.53,1764851059.1118674
46.04,267.59,874.10,-892.30,-454.87,-499.75,1764851059.1147187
54.73,309.05,861.18,-620.45,-469.14,-522.89,1764851059.117967
66.47,205.54,891.60,-523.49,-525.07,-544.95,1764851059.119222
78.25,37.01,979.56,-606.66,-535.11,-500.41,1764851059.1218176
90.96,-156.19,1075.93,-602.66,-510.94,-359.65,1764851059.124
125.92,-336.31,1178.69,-732.46,-444.50,-137.40,1764851059.12614
161.63,-351.86,1215.19,-1004.19,-361.93,102.81,1764851059.1305587
181.64,-281.38,1224.91,-1053.97,-290.54,312.99,1764851059.1320677
188.59,-180.38,1348.22,-832.87,-191.76,501.54,1764851059.133079
200.20,-48.02,1453.04,-554.34,-16.29,604.51,1764851059.1356437
190.87,35.08,1510.33,-512.59,199.15,646.73,1764851059.1356437
177.99,20.22,1455.08,-602.80,390.68,665.82,1764851059.1397974
151.44,-95.61,1368.22,-582.28,544.18,736.95,1764851059.1416686
125.43,-97.32,1310.14,-432.84,688.75,829.81,1764851059.146156
101.81,-95.17,1207.07,-496.61,790.94,939.04,1764851059.1485288
20.09,-166.25,1041.76,-450.32,856.20,1013.88,1764851059.1485288
25.18,-95.86,875.89,-451.17,842.97,1071.50,1764851059.1517544
10.60,-48.63,794.76,-445.30,764.52,1105.77,1764851059.153915
-13.19,-38.64,797.50,-304.40,677.14,1122.91,1764851059.1558957
-27.86,15.61,854.27,-267.14,608.27,1141.37,1764851059.1584454
-36.13,51.67,894.28,-295.17,553.03,1126.77,1764851059.1597953
-40.01,59.52,922.44,-256.60,535.48,1124.55,1764851059.1619763
-39.56,110.89,990.02,-255.31,534.96,1095.97,1764851059.1650348
-38.28,203.31,1015.67,-397.31,548.01,1054.57,1764851059.167588
-46.63,290.26,1006.27,-509.91,577.71,977.99,1764851059.167588
-59.59,324.12,984.63,-512.93,579.25,864.29,1764851059.171555
-72.40,314.95,996.38,-510.39,588.37,737.35,1764851059.1740737
-86.29,268.91,1011.33,-599.13,595.21,638.44,1764851059.1757364
