ax,ay,az,gx,gy,gz,beat_event
-0.708926,5.566026,7.347920,3.658537,2.804878,-1.341463,0
-0.680186,5.566026,7.414981,0.731707,-0.487805,-0.487805,0
-0.756826,5.518125,7.395821,3.292683,4.268293,1.341463,0
-0.689766,5.470225,7.338340,0.853659,-0.487805,-0.365854,0
-0.699346,5.508545,7.395821,7.073171,0.609756,-12.560976,0
-0.737666,5.537285,7.319180,-5.243903,-5.365854,-3.536585,0
-0.737666,5.546865,7.357500,5.975610,-1.463415,-4.390244,0
-0.718506,5.527705,7.338340,-1.829268,-1.097561,8.658537,0
-0.699346,5.498965,7.386240,-5.243903,-1.951220,0.243902,0
-0.661025,5.489385,7.328760,-1.097561,-5.365854,-1.585366,0
-0.699346,5.518125,7.338340,-0.243902,2.073171,-3.170732,0
-0.689766,5.623506,7.462881,-1.097561,-0.609756,-0.487805,0
-0.689766,5.556446,7.309600,0.000000,3.048780,1.585366,0
-0.737666,5.546865,7.386240,4.878049,0.365854,0.731707,0
-0.756826,5.527705,7.367080,-2.439024,2.439024,-7.682927,0
-0.708926,5.518125,7.414981,-1.951220,-6.585366,1.097561,0
-0.689766,5.585186,7.405401,-1.097561,-1.463415,2.073171,0
-0.699346,5.613926,7.482041,-1.463415,4.512195,0.243902,0
-0.708926,5.518125,7.434141,-2.317073,-3.780488,2.439024,0
-0.699346,5.508545,7.300020,0.121951,-3.170732,-1.097561,0
-0.699346,5.546865,7.443721,0.365854,0.365854,-0.487805,0
-0.708926,5.498965,7.405401,-0.121951,-5.487805,0.000000,0
-0.699346,5.527705,7.395821,1.097561,2.926829,-4.390244,0
-0.737666,5.566026,7.347920,2.682927,6.097561,-1.219512,0
-0.670605,5.479805,7.405401,5.121951,2.560976,-1.951220,0
-0.651445,5.556446,7.280859,3.414634,3.536585,-1.097561,0
-0.728086,5.460645,7.338340,-5.365854,4.512195,0.000000,0
-0.680186,5.508545,7.376660,2.926829,-6.951220,-0.487805,0
-0.680186,5.470225,7.367080,3.414634,3.292683,1.341463,0
-0.699346,5.594766,7.309600,-6.707317,0.975610,-1.951220,0
-0.785566,5.498965,7.357500,-1.585366,-0.487805,2.682927,0
-0.641865,5.556446,7.482041,-2.195122,1.463415,5.000000,0
-0.708926,5.575606,7.328760,0.000000,1.463415,-0.609756,0
-0.775986,5.393584,7.376660,-1.463415,0.731707,0.000000,0
-0.756826,5.556446,7.405401,-2.439024,-1.463415,1.463415,0
-0.661025,5.566026,7.376660,0.121951,-4.268293,4.512195,0
-0.718506,5.537285,7.338340,1.097561,6.341464,-3.902439,0
-0.708926,5.508545,7.347920,7.804878,-3.170732,-1.951220,0
-0.708926,5.451065,7.376660,-2.926829,0.487805,-3.414634,0
-0.747246,5.556446,7.462881,-3.048780,-7.195122,-2.317073,0
-0.718506,5.546865,7.462881,-3.170732,1.707317,7.073171,0
-0.699346,5.537285,7.338340,1.097561,2.926829,6.585366,0
-0.699346,5.546865,7.405401,10.609756,0.121951,-2.682927,0
-0.747246,5.556446,7.386240,-1.707317,-1.585366,-6.097561,0
-0.718506,5.585186,7.319180,-1.219512,-2.195122,1.829268,0
-0.680186,5.479805,7.328760,-6.219512,3.048780,1.829268,0
-0.756826,5.556446,7.376660,-1.951220,-0.975610,-3.536585,0
-0.756826,5.489385,7.462881,-4.024390,-0.609756,1.707317,0
-0.699346,5.527705,7.395821,0.000000,-3.048780,10.365854,0
-0.699346,5.479805,7.395821,-0.365854,6.829268,0.243902,0
-0.651445,5.422325,7.395821,1.097561,0.731707,-2.682927,0
-0.766406,5.537285,7.443721,2.560976,6.219512,-2.926829,0
-0.766406,5.527705,7.453301,-3.780488,-0.243902,4.878049,0
-0.699346,5.479805,7.443721,-1.097561,1.219512,-2.195122,0
-0.737666,5.441484,7.424561,-0.365854,0.609756,5.000000,0
-0.747246,5.498965,7.434141,2.073171,0.000000,0.000000,0
-0.680186,5.518125,7.395821,2.682927,-1.097561,-4.268293,0
-0.737666,5.412745,7.376660,-5.000000,0.609756,0.731707,0
-0.737666,5.460645,7.328760,5.487805,2.439024,4.390244,0
-0.718506,5.470225,7.347920,-7.439024,-0.121951,7.439024,0
-0.651445,5.489385,7.376660,6.707317,-7.439024,-5.365854,0
-0.680186,5.537285,7.443721,2.560976,-0.609756,0.365854,0
-0.737666,5.498965,7.367080,-2.682927,3.048780,-3.536585,0
-0.689766,5.527705,7.386240,-4.268293,0.487805,-1.585366,0
-0.766406,5.585186,7.376660,4.634147,-0.365854,0.365854,0
-0.737666,5.518125,7.367080,-0.853659,1.585366,6.463415,0
-0.670605,5.527705,7.376660,-3.658537,4.878049,1.341463,0
-0.689766,5.489385,7.367080,2.926829,-5.609756,0.121951,0
-0.756826,5.537285,7.386240,-0.731707,-2.317073,-6.219512,0
-0.708926,5.489385,7.462881,-1.463415,3.902439,5.731708,0
-0.708926,5.489385,7.367080,1.097561,-2.439024,1.097561,0
-0.670605,5.518125,7.414981,-2.804878,0.121951,-9.268293,0
-0.775986,5.508545,7.386240,0.853659,-0.731707,-1.951220,0
-0.718506,5.508545,7.357500,6.707317,-4.634147,-4.634147,0
-0.756826,5.613926,7.443721,-0.365854,-2.926829,3.170732,0
-0.747246,5.546865,7.280859,-0.731707,4.512195,-2.926829,0
-0.708926,5.498965,7.367080,0.853659,-0.731707,0.243902,0
-0.670605,5.470225,7.395821,-1.585366,-6.341464,5.609756,0
-0.795147,5.489385,7.386240,4.512195,1.463415,0.609756,0
-0.718506,5.479805,7.395821,-0.853659,7.439024,1.829268,0
-0.737666,5.489385,7.367080,4.878049,2.682927,1.707317,0
-0.718506,5.537285,7.453301,1.829268,-0.609756,0.609756,0
-0.814307,5.546865,7.357500,0.243902,2.073171,4.634147,0
-0.718506,5.479805,7.347920,-5.487805,2.560976,-2.195122,0
-0.699346,5.489385,7.328760,-4.024390,4.024390,-5.609756,0
-0.728086,5.613926,7.376660,3.780488,3.658537,-1.585366,0
-0.699346,5.508545,7.328760,-1.829268,4.146341,-1.463415,0
-0.670605,5.546865,7.357500,-1.951220,-0.243902,-4.268293,0
