ax,ay,az,gx,gy,gz,timestamp
-312.74,-88.19,1083.77,169.71,-183.26,56.78,1764851102.262897
-313.53,-43.16,1109.15,58.46,-152.47,94.16,1764851102.2670295
-311.50,16.86,1120.83,25.39,-121.80,113.34,1764851102.2670295
-305.12,79.28,1152.36,-63.02,-73.23,97.24,1764851102.2704694
-306.01,96.64,1164.60,-191.57,-22.35,52.35,1764851102.2733963
-313.21,98.94,1174.26,-204.53,48.21,5.20,1764851102.2752795
-327.12,91.15,1168.37,-208.05,121.38,-38.78,1764851102.2769282
-339.11,57.98,1154.52,-217.64,171.57,-72.56,1764851102.2796385
-347.49,7.43,1125.19,-239.90,219.63,-86.28,1764851102.2869837
-355.22,-36.58,1093.51,-223.11,257.79,-75.14,1764851102.2890885
-364.18,-60.05,1060.28,-162.05,301.02,-64.77,1764851102.2904506
-365.36,-75.34,1025.89,-110.74,311.37,-53.25,1764851102.2938387
-368.90,-74.54,968.91,-78.53,300.96,-35.06,1764851102.2951322
-368.32,-84.96,922.42,12.45,282.22,-8.50,1764851102.2978234
-366.92,-88.41,919.06,138.98,258.19,15.87,1764851102.302358
-367.08,-57.75,952.35,220.14,229.66,39.29,1764851102.303782
-367.67,-22.54,987.10,220.12,226.71,59.80,1764851102.3053603
-365.47,18.94,983.18,215.30,236.50,61.03,1764851102.3076932
-363.30,65.15,972.21,269.70,274.83,45.57,1764851102.3099096
-365.20,82.68,953.42,270.65,302.60,12.04,1764851102.31152
-371.17,62.63,911.51,236.05,328.61,-5.07,1764851102.3151777
-367.70,35.83,827.58,193.74,331.52,-15.41,1764851102.3197706
-359.94,36.91,750.10,198.58,268.89,-19.10,1764851102.3201628
-354.85,51.02,726.83,228.49,193.76,-15.63,1764851102.3234367
-353.82,57.02,744.41,265.62,97.19,-18.09,1764851102.3259485
-358.65,68.42,783.05,282.48,49.02,-14.47,1764851102.3288753
-370.40,39.70,846.79,277.91,23.96,-15.00,1764851102.3329153
-383.54,8.25,886.87,268.02,33.87,-8.55,1764851102.3349333
-385.41,-15.79,873.99,170.82,26.69,28.43,1764851102.3362179
-387.15,-30.37,801.84,93.29,21.49,86.27,1764851102.3396955
-384.73,11.68,743.37,149.50,-9.34,154.33,1764851102.3412092
-391.37,63.63,723.66,115.38,-83.24,176.18,1764851102.34334
-389.21,104.04,731.51,89.37,-172.15,166.25,1764851102.3488123
-391.58,137.78,775.98,85.26,-241.73,175.21,1764851102.3513198
-390.44,180.71,846.79,161.27,-275.07,154.33,1764851102.3538282
-390.98,219.76,913.87,227.98,-286.91,105.98,1764851102.3555756
-387.08,218.59,967.44,194.99,-273.87,63.08,1764851102.3570845
-386.92,207.55,993.02,175.04,-219.89,35.92,1764851102.3597314
-383.78,206.72,1001.57,211.78,-172.51,25.43,1764851102.3625917
-379.46,214.71,1005.68,236.11,-124.73,-10.48,1764851102.3653302
-375.64,195.11,1002.28,222.00,-94.02,-33.51,1764851102.3671494
-373.15,166.29,988.29,194.70,-56.22,-21.28,1764851102.3712058
-371.93,142.85,967.40,142.39,-35.19,-12.99,1764851102.3735685
-374.04,132.07,941.84,79.63,-35.01,-5.34,1764851102.3735685
-374.93,127.86,913.66,-31.31,-47.76,-1.84,1764851102.3735685
-376.89,123.83,900.06,-35.61,-51.99,17.64,1764851102.378608
-368.06,161.06,901.40,88.83,-50.19,25.49,1764851102.382507
-360.85,209.20,922.94,162.50,-54.97,1.57,1764851102.3847547
-357.72,210.67,939.75,164.83,-46.12,-58.07,1764851102.3862996
-358.36,177.12,966.34,144.00,-26.30,-94.66,1764851102.3879821
-363.41,144.70,1001.99,126.30,-18.16,-85.26,1764851102.3893135
-365.60,143.69,1028.39,168.86,30.17,-80.87,1764851102.3916266
-367.76,150.79,1028.33,134.23,82.64,-85.84,1764851102.3941612
-369.44,149.62,993.93,54.09,134.45,-88.26,1764851102.3953059
-374.18,135.43,940.69,-5.02,142.78,-92.72,1764851102.3990233
-377.60,128.76,916.89,5.03,172.36,-94.12,1764851102.4027905
-382.31,123.70,897.85,3.38,174.41,-115.40,1764851102.4045947
-388.11,110.54,870.43,-6.13,166.55,-125.39,1764851102.4065633
-394.40,84.51,841.26,-38.51,147.86,-116.48,1764851102.4065633
-400.19,57.14,825.17,-52.53,121.18,-95.41,1764851102.409945
-407.36,44.52,832.05,-56.05,87.41,-57.40,1764851102.4124327
-412.71,36.04,850.79,-70.14,70.10,-27.19,1764851102.4154074
-414.25,55.83,885.62,-65.02,52.08,-8.11,1764851102.4167113
-415.41,96.81,906.68,-31.57,49.37,12.61,1764851102.4191296
-414.75,132.54,923.08,-14.83,74.66,5.62,1764851102.4209619
-418.09,140.71,924.57,-36.01,74.56,-7.23,1764851102.4209619
-422.42,122.00,930.18,-49.81,97.28,-30.74,1764851102.425347
-425.66,101.00,917.70,-49.84,117.19,-13.83,1764851102.4266536
-427.21,82.40,886.10,-66.06,122.71,-1.26,1764851102.4296267
-427.78,61.34,866.58,-78.65,111.80,-3.17,1764851102.4309263
-427.81,46.44,853.90,-90.25,101.33,13.51,1764851102.4343553
-429.04,53.12,859.76,-81.82,83.43,42.38,1764851102.436159
-430.68,78.75,864.90,-66.84,80.82,48.32,1764851102.437957
-432.98,99.79,851.26,-65.22,73.80,37.18,1764851102.4394605
-434.33,109.12,840.12,-76.73,51.33,46.60,1764851102.441849
-436.53,121.10,832.60,-52.32,18.73,53.71,1764851102.4435692
-436.90,128.89,838.81,-46.28,6.02,42.65,1764851102.4450946
-439.32,129.51,848.29,-69.03,-13.18,27.25,1764851102.4490201
-437.62,119.08,856.50,-90.48,-40.01,17.17,1764851102.4515915
-439.93,110.37,880.72,-83.81,-61.01,40.99,1764851102.4534607
-440.84,110.01,910.46,-68.84,-79.76,53.74,1764851102.4534607
-441.16,114.36,933.05,-80.11,-74.99,54.38,1764851102.4564393
-440.24,130.51,940.54,-93.59,-70.34,72.62,1764851102.4587197
-437.95,139.73,935.21,-96.66,-53.49,59.63,1764851102.460034
-437.66,137.07,916.28,-97.76,-39.77,61.19,1764851102.464166
-438.31,113.96,904.98,-113.09,-51.80,35.21,1764851102.4672706
-436.01,100.17,907.39,-103.93,-56.93,27.83,1764851102.468676
-433.61,89.34,915.28,-95.54,-49.59,27.85,1764851102.4717672
-430.22,95.14,931.74,-62.01,-40.65,22.17,1764851102.4728358
-425.24,97.97,941.53,-59.01,-26.76,11.05,1764851102.4760208
-424.00,87.32,944.75,-61.26,-19.44,12.09,1764851102.4770532
-423.55,77.08,950.34,-46.07,-18.93,7.28,1764851102.4788702
-422.12,68.96,945.34,-40.96,-15.19,31.69,1764851102.4830549
-422.55,65.82,932.23,-35.11,-0.31,22.73,1764851102.4849904
-421.72,64.65,922.75,-28.95,2.74,7.92,1764851102.4864206
-420.41,66.05,906.29,-34.80,15.53,7.93,1764851102.4883487
-418.10,67.99,903.69,-22.38,10.80,15.44,1764851102.490522
-415.53,68.74,903.44,-17.53,-15.42,37.43,1764851102.492336
-414.70,72.98,910.87,-17.30,-11.61,26.71,1764851102.493664
-413.70,83.18,913.74,-31.80,-26.67,38.61,1764851102.4954844
-413.29,84.81,913.78,-30.33,-19.97,37.62,1764851102.4988525
-414.60,96.54,913.66,-37.48,-13.07,29.57,1764851102.5020823
-414.96,103.96,904.86,-40.56,-24.31,20.34,1764851102.5039499
-415.27,110.71,905.93,-37.48,-25.16,0.79,1764851102.5039499
-415.83,117.81,901.44,-32.75,-22.59,-17.03,1764851102.507021
-417.20,106.58,901.68,-17.64,-20.70,-31.88,1764851102.5097542
-415.67,91.20,905.03,-3.30,-29.00,-30.10,1764851102.5118306
-412.72,70.62,908.77,-1.60,-27.95,-51.08,1764851102.5152032
-411.11,54.77,919.16,-19.96,-32.15,-19.72,1764851102.5177
-408.40,59.46,929.03,-7.07,-33.33,6.94,1764851102.5193667
-406.39,70.94,941.63,-0.61,-31.63,2.00,1764851102.5209525
-405.13,84.90,952.18,8.18,-32.59,1.10,1764851102.5229514
-406.16,97.21,951.71,0.96,-28.90,8.13,1764851102.524979
