ax,ay,az,gx,gy,gz,beat_event
-1.245410,3.362607,8.593330,-4.390244,-0.975610,-1.463415,0
-1.197510,3.391348,8.641231,-3.292683,0.853659,0.975610,0
-1.168770,3.372188,8.612491,6.707317,2.317073,-1.097561,0
-1.207090,3.372188,8.679551,-2.073171,-4.512195,-1.585366,0
-1.149609,3.305127,8.612491,-6.341464,-4.146341,3.780488,0
-1.140029,3.324287,8.631651,2.804878,0.365854,-4.512195,0
-1.159189,3.400928,8.631651,0.487805,8.292683,-0.243902,0
-1.207090,3.362607,8.641231,-4.146341,-2.073171,-0.243902,0
-1.178350,3.372188,8.612491,-4.024390,-6.341464,-3.658537,0
-1.159189,3.381768,8.612491,3.048780,2.926829,-6.097561,0
-1.140029,3.362607,8.679551,3.292683,2.439024,0.731707,0
-1.101709,3.266807,8.669971,-0.853659,2.195122,-1.097561,0
-1.149609,3.353028,8.669971,-3.048780,0.121951,-1.341463,0
-1.168770,3.285967,8.689131,3.414634,-1.829268,-7.073171,0
-1.187930,3.381768,8.564590,-0.731707,3.902439,3.170732,0
-1.178350,3.266807,8.660391,7.804878,-9.146341,0.000000,0
-1.235830,3.381768,8.631651,2.073171,4.512195,0.365854,0
-1.178350,3.305127,8.612491,1.585366,2.560976,6.341464,0
-1.149609,3.372188,8.669971,1.097561,5.365854,-3.170732,0
-1.187930,3.295547,8.622070,5.609756,-0.609756,-5.975610,0
-1.226250,3.362607,8.622070,-2.317073,5.487805,-1.341463,0
-1.159189,3.257227,8.631651,-4.878049,1.219512,-1.707317,0
-1.072969,3.333867,8.602911,-1.707317,4.146341,-0.487805,0
-1.120869,3.353028,8.574170,3.048780,3.902439,-0.487805,0
-1.140029,3.285967,8.612491,3.170732,9.268293,-2.560976,0
-1.168770,3.372188,8.641231,-0.365854,-0.487805,3.780488,0
-1.226250,3.305127,8.593330,2.804878,-6.097561,-5.853659,0
-1.149609,3.353028,8.583751,-5.121951,0.487805,0.487805,0
-1.149609,3.353028,8.593330,-3.536585,-5.731708,5.121951,0
-1.149609,3.420088,8.631651,-1.951220,2.682927,6.829268,0
-1.130449,3.314707,8.708291,2.682927,0.000000,-0.731707,0
-1.101709,3.429668,8.631651,3.292683,1.707317,2.926829,0
-1.140029,3.439248,8.631651,2.317073,2.804878,-11.097561,0
-1.178350,3.353028,8.574170,-3.902439,-0.975610,4.024390,0
-1.140029,3.324287,8.679551,-0.731707,-5.243903,-4.268293,0
-1.187930,3.420088,8.641231,7.926829,-1.463415,5.487805,0
-1.207090,3.343447,8.622070,-10.731708,-8.048780,2.317073,0
-1.207090,3.362607,8.650811,-3.048780,4.878049,9.024390,0
-1.187930,3.285967,8.602911,5.975610,-3.292683,-5.000000,0
-1.168770,3.305127,8.660391,-1.707317,0.609756,-0.365854,0
-1.159189,3.400928,8.756192,-1.219512,1.341463,3.780488,0
-1.216670,3.276387,8.583751,-3.902439,-3.292683,0.365854,0
-1.130449,3.343447,8.602911,1.707317,-3.902439,-1.585366,0
-1.140029,3.353028,8.555010,3.170732,3.536585,-2.195122,0
-1.159189,3.314707,8.641231,-1.097561,-3.658537,-2.073171,0
-1.235830,3.439248,8.746612,2.682927,2.804878,-4.756098,0
-1.207090,3.333867,8.660391,-8.414635,-1.951220,8.536586,0
-1.187930,3.314707,8.545430,-6.219512,-1.219512,5.487805,0
-1.120869,3.353028,8.545430,-2.926829,-5.731708,1.707317,0
-1.140029,3.391348,8.727451,0.609756,5.487805,-0.975610,0
-1.197510,3.381768,8.622070,-3.902439,1.097561,-0.487805,0
-1.226250,3.257227,8.679551,-5.487805,2.804878,3.292683,0
-1.159189,3.324287,8.660391,6.463415,-0.121951,4.512195,0
-1.178350,3.362607,8.631651,-1.707317,-0.487805,1.097561,0
-1.120869,3.295547,8.612491,-1.829268,0.731707,-3.780488,0
-1.140029,3.324287,8.717872,-1.585366,0.731707,8.536586,0
-1.207090,3.458408,8.650811,3.048780,0.487805,-7.560976,0
-1.274150,3.343447,8.602911,5.609756,-4.390244,-6.097561,0
-1.226250,3.362607,8.660391,4.390244,-5.243903,4.390244,0
-1.245410,3.333867,8.679551,-1.219512,-2.439024,-0.487805,0
-1.130449,3.372188,8.641231,-0.731707,-1.951220,-0.731707,0
-1.168770,3.391348,8.631651,-4.634147,2.560976,2.560976,0
-1.082549,3.353028,8.545430,4.878049,2.073171,-1.341463,0
-1.207090,3.429668,8.622070,-3.292683,4.878049,2.926829,0
-1.197510,3.353028,8.650811,0.000000,1.341463,3.658537,0
-1.053809,3.381768,8.631651,1.341463,3.170732,3.414634,0
-1.197510,3.333867,8.679551,2.439024,-0.487805,2.439024,0
-1.187930,3.314707,8.564590,-2.195122,0.731707,-0.365854,0
-1.072969,3.343447,8.593330,0.487805,5.000000,3.048780,0
-1.159189,3.324287,8.612491,-2.073171,4.634147,-1.951220,0
-1.264570,3.247647,8.650811,1.585366,-1.463415,1.951220,0
-1.149609,3.381768,8.679551,4.634147,-0.609756,-0.853659,0
-1.168770,3.324287,8.737032,-1.951220,2.804878,-3.658537,0
-1.130449,3.247647,8.555010,3.170732,2.560976,-0.487805,0
